Blade,,7/1/2012 Build 1.0@311569,cast time - refresh time,,,,
Method,Technique,Wind through Grass,Tearing of Sky,Crossing River's Edge,Running of the Jagged,Sharpening the Senses,The Cutting Artist
Delicate Strike,Immortal Spirit,Grass Cutter,Fatal Flourish,Bamboo Cutter,Brandish,Tipped Scales,Forked Paths
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
1 ap,1 ap,9 ap ,9 ap ,9 ap ,9 ap ,9 ap ,9 ap 
"Instant Instant
Builds 1 resource for each weapon equipped.
A single target attack that deals 48 physical damage.","Whenever you penetrate, you gain a heal over time effect, which heals you 10 every second for 5 seconds.","Instant Instant
Builds 1 resource for each equipped weapon.
A single target attack that deals 45 physical damage, or 55 physical damage if the target is Afflicted.","Whenever you apply an Afflicted you gain a 1 stack of the Penetration Rating effect, which increases your Penetration Rating by 30 per stack for 8 seconds. This effect can stack up to 10 times.","Instant Instant
PBAoE: Applied to 5 enimies in a 5 metre radius around you.
Builds 1 resource for each Equipped weapon.
A PBAoE Frenzy attack that deals 32 physical damage.","2.5sec 10sec
Channelled every 0.5 seconds for 2.5 seconds.
Consumes all Blade Resources.
A channelling Focus attack that deals 38 physical damage per hit. While you channel, you take 5% less damage per resource spent. This abiity generates additional hate.","Whenever you hit an Impaired target, you gain a heal over time effect that heals 22 every second for 6 seconds.","Instant Instant
PBAoE: Affects up to 5 enemies within a 5 meter radius around you.
Builds 1 Resource for Each equipped weapon.
A PBAoE attack that deals 32 physical damage. For every affected that that is Afflicted, you are healed for 8."
Delicate Precision,Blade Torrent,Twist the Knife,Spiral of Death,Sudden Return,Brandishing Support,Saving Grace,Enervate
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
1 ap,1 ap,12 ap,12 ap,12 ap,12 ap,12 ap,12 ap
"Increases the Penetration Chance of ""Delicate Strike"" by 10%.","Instant Instant
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
Builds 1 resource for each equipped weapon.
A PBAoE Frenzy attack that deals 32 physical damage. This attack generates a high amount of hate.","Whenever you penetrate you also gain 1 stack of a beneficial effect, which increases all damage dealt by 3% for 10 seconds. This effect can stack up to 3 times.","Instant 20sec
You teleport to the target and hit up to 5 enemies in a 5 metre radius, dealing 81 physical damage. The target must be at least 3 metres away.","Whenever you penetrate, you also perform an additional hit for 18 physical damage.","""Brandish"" also increases your Defense Rating by 25 per resource spent while you channel. Its recharge time is reduced by 5 seconds.","Instant 20sec
Charge: 15 metre charge to your defensive target.
You charge to a defensive target and give it a beneficial effect causing the next attack against it to deal 50% less damage.","Whenver you are glanced, you cause the attacker to become Afflicted with a  damage over time effect that deals 12 physical damage every second for 5 seconds."
Balanced Blade,Perfect Storm,Chop Shop,Incision,Five Petal Lotus,Matador,Stave Off,Crimson Theatre
Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Active Melee Ability,Passive Ability,Active Melee Ability
1 ap,1 ap,16 ap,16 ap,16 ap,16 ap,16 ap,16 ap
"Instant Instant
PBAoE: Affects up to 5 enemies in a 5 metre radius around you.
Consumes all Blade Resources.
A PBAoE attack that deals 60 physical damage.
Builds 2 Blade Resources for if any affected target are Impaired.","""Blade Torrent"" also causes the target to become Afflicted with a damage over time effect that deals 7 physical damage every second for 8 seconds.","2.5sec Instant
Channeled every 0.5 seconds for 2.5 seconds.
PBAoE; Affects up to 5 enemies in a 5 meter area around you.
Consumes all Blade Resources.
A channelled PBAoE Focus attack that deals 26 physical damage.","Whenever you penetrate, you also cause the target to become Afflicted with a damage over time effect that deals 10 physical damage every second for 3 seconds.","Instant Instant
TAoE: Applied to 5 enemies in a 5 metre radius.
Consumes all Blade Resources.
A TAoE attack that deals 60 physical damage.","Instant Instant
Builds 1 resource for each equipped weapon.
A single target attack that deals 46 physical damage. Also gives you 1 stack of the Defense rating effect, which increases your Defense Rating by 30 per stack for 8 seconds. This effect can stack up to 5 times.","Whenever you are glaced, there is a 10% chance that your attacker becomes Impaired and unable to act for 5 seconds.","Instant 10sec
Consumes all Blade Resources.
Places an area at your feet that lasts for 10 seconds. 
Every second it will hit up to 5 enemies in a 5 metre radius, dealing 4 physical damage. This ability generates additional hate."
Expose Weakness,Martial Discipline,Seven and a Half Samurai,Trial by Swords,Fortunate Strike,Exposed,Point of Harmony,Perseverance
Passive Ability,Active Melee Ability,Passive Ability,Active Melee Ability,Passive Ability,Passive Ability,Active Melee Ability,Passive Ability
2 ap,2 ap,21 ap,21 ap,21 ap,21 ap,21 ap,21 ap
"Whenever you apply Impaired, you gain the Minor Penetration Chance effect, which increases you Penetration Chance by 10% for 8 seconds.","Instant 45sec
You gain the Major Defence effect, which increases the chance that attacks against you will glance by 50% for 6 seconds.",Focus abilities are 7.5% more effective.,"Instant 45sec
A single target attack that deals 91 physical damage and causes the target to become Impaired and unable to act for 3 seconds.","Whenever you hit an Afflicted target, there is a 10% chance you will perform an additional hit that deals 21 physical damage.","Whenever you are glanced, you hit the attacker, dealing 49 physical damage.","3sec 80sec
Channelled: Every 0.5 seconds for 3 seconds.
A channelled heal that heals you for 5% of you maximum health each hit.","Whenever you activate a  Frenzy ability, you are healed for 8 health."
